Time(ms),Ball_X(mm),Ball_Y(mm),Target_X(mm),Target_Y(mm)
5878.0,9.709,-49.621,0.0,-30.0
6109.0,11.559,-53.372,0.0,-30.0
6361.0,11.744,-47.433,0.0,-30.0
6561.0,10.449,-47.277,0.0,-30.0
6761.0,7.49,-45.245,0.0,-30.0
6961.0,3.236,-45.089,-28.532,-9.271
7161.0,-12.853,-35.868,-28.532,-9.271
7371.0,-30.792,-20.552,-28.532,-9.271
7591.0,-43.738,-10.393,-28.532,-9.271
7831.0,-51.506,-7.58,-28.532,-9.271
8062.0,-54.095,-7.736,-28.532,-9.271
8262.0,-50.581,-8.674,-28.532,-9.271
8462.0,-46.697,-9.299,-28.532,-9.271
8662.0,-44.663,-10.549,-28.532,-9.271
8862.0,-44.663,-11.487,-28.532,-9.271
9083.0,-39.854,-11.956,28.532,-9.271
9283.0,-6.38,-12.581,28.532,-9.271
9483.0,49.101,-21.02,28.532,-9.271
9683.0,56.499,-13.831,28.532,-9.271
9883.0,61.862,-12.737,28.532,-9.271
10093.0,51.136,-11.331,28.532,-9.271
10293.0,94.596,-79.628,28.532,-9.271
10493.0,29.498,-11.331,28.532,-9.271
10703.0,25.429,-11.487,28.532,-9.271
10903.0,24.319,-11.8,-17.634,24.271
11113.0,16.367,-4.61,-17.634,24.271
11313.0,-8.045,15.394,-17.634,24.271
11513.0,-22.655,26.803,-17.634,24.271
11723.0,-31.902,33.523,-17.634,24.271
11933.0,-33.936,35.243,-17.634,24.271
12133.0,-33.936,35.243,-17.634,24.271
12333.0,-31.902,33.523,-17.634,24.271
12533.0,-30.422,31.648,-17.634,24.271
12733.0,-28.943,29.616,-17.634,24.271
12933.0,-27.833,28.21,0.0,-30.0
13133.0,-20.621,17.895,0.0,-30.0
13343.0,-12.668,-20.083,0.0,-30.0
13553.0,-4.346,-45.557,0.0,-30.0
13774.0,1.387,-58.06,0.0,-30.0
13974.0,7.86,-52.121,0.0,-30.0
14226.0,6.935,-44.463,0.0,-30.0
14426.0,8.97,-39.931,0.0,-30.0
14636.0,8.6,-36.962,0.0,-30.0
14836.0,7.86,-34.617,0.0,-30.0
15036.0,8.415,-32.586,17.634,24.271
15236.0,11.374,-5.079,17.634,24.271
15436.0,14.148,29.929,17.634,24.271
15646.0,19.511,46.183,17.634,24.271
15846.0,23.765,49.777,17.634,24.271
16046.0,26.169,42.119,17.634,24.271
16246.0,87.384,-74.001,17.634,24.271
16518.0,21.915,33.836,17.634,24.271
16739.0,23.395,32.898,17.634,24.271
16939.0,22.84,32.117,0.0,-30.0
17149.0,21.176,21.333,0.0,-30.0
17349.0,15.812,-12.268,0.0,-30.0
17569.0,8.785,-47.745,0.0,-30.0
17769.0,0.462,-58.217,0.0,-30.0
18031.0,-6.75,-51.027,-28.532,-9.271
18261.0,-15.257,-27.584,-28.532,-9.271
18501.0,-22.84,-8.518,-28.532,-9.271
18701.0,-29.868,-0.86,-28.532,-9.271
18922.0,-36.525,1.641,-28.532,-9.271
19122.0,-39.484,0.391,-28.532,-9.271
19322.0,-42.074,-1.172,-28.532,-9.271
19522.0,-43.553,-2.735,-28.532,-9.271
19722.0,-41.334,-4.298,-28.532,-9.271
19922.0,-42.628,-5.861,28.532,-9.271
20132.0,-38.19,-9.143,28.532,-9.271
20352.0,-4.531,-10.08,28.532,-9.271
20573.0,39.3,-11.956,28.532,-9.271
20794.0,55.574,-12.425,28.532,-9.271
21046.0,55.019,-11.643,28.532,-9.271
21246.0,57.978,-18.52,28.532,-9.271
21446.0,32.087,-11.643,28.532,-9.271
21646.0,26.724,-10.393,28.532,-9.271
21867.0,26.169,-10.549,28.532,-9.271
22067.0,26.909,-13.362,-17.634,24.271
22277.0,8.6,3.829,-17.634,24.271
22477.0,-15.627,17.895,-17.634,24.271
22708.0,-28.758,30.085,-17.634,24.271
23012.0,-32.642,34.305,-17.634,24.271
23212.0,-35.601,33.68,-17.634,24.271
23422.0,-37.635,34.93,-17.634,24.271
23642.0,-38.375,35.243,-17.634,24.271
23842.0,-36.156,32.742,-17.634,24.271
24042.0,12.668,22.74,0.0,-30.0
24283.0,-22.47,9.924,0.0,-30.0
24483.0,-6.565,-29.929,0.0,-30.0
24683.0,0.647,-55.872,0.0,-30.0
24883.0,3.236,-66.5,0.0,-30.0
25083.0,3.606,-58.373,0.0,-30.0
25313.0,2.867,-38.837,0.0,-30.0
25617.0,1.757,-31.023,0.0,-30.0
25817.0,1.202,-30.085,0.0,-30.0
26017.0,1.202,-30.71,17.634,24.271
26217.0,2.867,-21.802,17.634,24.271
26437.0,6.565,13.988,17.634,24.271
26637.0,11.929,36.18,17.634,24.271
